bed,bath ,sqft,rent
0,1,500,894
1,1,652,1010
2,1.5,1206,1331
3,2,1263,1569
1,1,600,965
1,1,750,1064
2,1,850,1096
3,2,1500,1711
1,1,487,988
2,2,945,1417
2,2,1432,1522
2,2,1185,1625
1,1,712,1006
1,1,764,1051
2,2,1118,1304
1,1,782,1219
1,1,700,1085
1,1,700,1130
2,2,1050,1235
2,2,1050,1275
2,1.5,985,1075
3,1.5,1315,1395
2,2.5,1125,1445
3,2.5,1315,1545
1,1,660,1000
1,1,800,1045
2,2,1068,1270
2,2,1130,1320
3,2,1249,1820
1,1,670,973
2,2,955,1123
3,2,1100,1559
1,1,748,1075
2,2,1070,1469
2,2.5,1360,1478
3,2,1252,1585
1,1,780,1045
2,1,960,1085
1,1,870,1095
2,1,990,1095
1,1,700,1125
2,1,800,1204
2,1.5,1000,1320
2,1.5,1050,1365
2,2,1254,1297
2,2,1355,1314
1,1,870,1134
2,2,1021,1480
1,1,890,1564
2,2,1117,1619
3,2,1289,1845
2,1,804,1300
2,1,850,1197
2,1,850,1297
2,2,1025,1349
1,1,701,1197
1,1,794,1376
2,2,1145,1613
2,2,1192,1789
1,1,672,1061
1,1,880,1395
2,2,991,1595
2,1,880,1205
1,1,707,1177
1,1,816,1177
1,1,756,1184
2,2,1176,1765
3,2.5,1205,1699
3,2.5,1205,1715
1,1,724,1289
1,1,711,1316
1,1,740,1349
2,2,1056,1583
2,1.5,827,1350
3,2,1273,2500
1,1,663,1495
1,1,598,1620
1,1,681,1765
1,1,721,1920
1,1,836,1970
1,1,775,1315
2,2,1068,1522
3,2,1225,1780
3,2,1225,1295
